Title ,ROM,Year,Manufacturer,MAME Set,
:YES,yes,1985,Philips,Merged,
'88 Games,88games,1988,Konami,Merged,
'96 Flag Rally,flagrall,1996,Promat?,Merged,
'L' Of A Day (Project) (Cash set) (PROCONN),pr_lday,199?,Project,Merged,
"£6-X (BWB) (Release 3, 20p Fixed, Cash+Token) (set 1) (MPU4 Video)",v4sixx,199?,BWB,Merged,
005,005,1981,Sega,Merged,
007: GoldenEye (Tiger),tgoldeye,1996,Tiger Electronics,Merged,
1 on 1 Government (Japan),1on1gov,2000,Tecmo,Merged,
1 Vs 100 (JAKKS Pacific TV Game),jak_1vs,2007,JAKKS Pacific Inc / Pronto Games,Merged,
10 Jeux Interactifs / Jeux Pour Filles (France),jouet,200?,<unknown>,Merged,
10 X 10 (Barcrest) (MPU4) (T20 0.2),m4tenten,199?,Barcrest,Merged,
"10-Yard Fight (World, set 1)",10yard,1983,Irem,Merged,
"100 in 1 (D-CAT8 8bit Console, set 1) (v5.01.11-frd, BL 20041217)",mc_dcat8,2004,<unknown>,Merged,
100 in 1 Arcade Action II (AT-103),mc_aa2,200?,<unknown>,Merged,
"100 Lions (10219211, NSW/ACT)",100lions,2006,Aristocrat,Merged,
100&Medal GekiKazaaan!! (MDA-C0098D),kazaaan2,2016,Sega,Merged,
100&Medal Kazaaan!!,kazaaan,2010,Sega,Merged,
1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18),gtmr,1994,Kaneko,Merged,
"101 Games in 1 (Senario, NES/Famicom bootlegs)",sen101,2009,Senario,Merged,
10R (Rockwell),rw10r,1974,Rockwell,Merged,
110 in 1 CoolBaby (CoolBoy RS-1S),mc_110cb,200?,CoolBoy,Merged,
119 (bootleg?),119,1986,Coreland / Sega,Merged,
1214D Display Terminal,lee1214d,1985,Lee Data,Merged,
1220 Display Terminal,lee1220,1983,Lee Data,Merged,
12R: Square Root,rw12r,1975,Rockwell,Merged,
"138 in 1 CoolBaby (CoolBoy RS-5, PCB060-10009011V1.3)",mc_138cb,200?,CoolBoy,Merged,
1420 Video Display Terminal,hazl1420,1979,Hazeltine,Merged,
