Release Type,Name,Domestic Title,Overseas Title,Product No.,Date,Hardware Designation,Company Code,Disc Type,Version,I/O Devices,Region
Redump,3 Ninjas Kick Back (USA),3 NINJAS KICK BACK,3 NINJAS KICK BACK,T-93175,1994.DEC,SEGA GENESIS,(C)T-93,GM,0,J,U
Redump,"Adventures of Batman and Robin, The (Europe)",ADVENTURES OF BA,ADVENTURES OF BA,MK-4432,1995.OCT,SEGA MEGADRIVE,(C)SEGA,GM,50,J,E
Redump,"Adventures of Batman and Robin, The (USA)",ADVENTURES OF BA,ADVENTURES OF BA,MK-4432,1995.JUL,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,"Adventures of Willy Beamish, The (USA)",WILLY BEAMISH,WILLY BEAMISH,T-6300,1992.DEC,SEGA GENESIS,(C)T-32,GM,1,J,U
Redump,"Adventures of Willy Beamish, The (USA) (Alt)",WILLY BEAMISH,WILLY BEAMISH,T-6300,1992.DEC,SEGA GENESIS,(C)T-32,GM,1,J,U
Redump,After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan),AFTER ARMAGEDDON,,G-6026,1994.SEP,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J
Redump,After Burner III (Europe),AFTER BURNER III BY CRI,AFTER BURNER III BY CRI,MK-4415,1993.APR,SEGA MEGA DRIVE,(C)T-68,GM,0,J6,E
Redump,After Burner III (Japan),AFTER BURNER III BY CRI,AFTER BURNER III BY CRI,T-68014,1992.NOV,SEGA MEGA DRIVE,(C)T-68,GM,0,JA,J
Redump,After Burner III (USA),AFTER BURNER III BY CRI,AFTER BURNER III BY CRI,MK-4415,1993.APR,SEGA CD,(C)T-68,GM,0,J6,U
Redump,AH3 - Thunderstrike (USA),AH3-THUNDERSTRIKE,AH3-THUNDERSTRIKE,T-60055,1993.SEP,SEGA GENESIS,(C)T-60,GM,0,J,U
Redump,Aisle Lord (Japan),アイル・ロード,AISLE･LORD,T-32044,1992.MAR,SEGA MEGA DRIVE,(C)T-32,GM,1,J,J
Redump,Alshark (Japan),ALSHARK,ALSHARK,T-92014,1993.SEP,SEGA MEGA DRIVE,(C)T-92,GM,0,J,J
Redump,"Amazing Spider-Man vs. The Kingpin, The (Europe)",SPIDERMAN VS THE KINGPIN CD,SPIDERMAN VS THE KINGPIN CD,MK-4412,1993.NOV,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E
Redump,"Amazing Spider-Man vs. The Kingpin, The (USA)",SPIDERMAN VS THE KINGPIN CD,SPIDERMAN VS THE KINGPIN CD,MK-4412,1993.AUG,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,"Amazing Spider-Man vs. The Kingpin, The (USA) (Rev 1)",SPIDERMAN VS THE KINGPIN CD,SPIDERMAN VS THE KINGPIN CD,MK-4412,1993.NOV,SEGA GENESIS,(C)SEGA,GM,1,J,U
Redump,Android Assault - The Revenge of Bari-Arm (USA),BARI_ARM,BARI_ARM,T-163015,1994AUG,SEGA GENESIS,(C)T-163,GM,0,J,U
Redump,Annett Futatabi (Japan),ANNET,ANNET,T-32104,1993.FEB,SEGA MEGA DRIVE,(C)T-32,GM,0,J,J
Redump,Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),蒼き狼と白き牝鹿・元朝秘史,Ghenghis Khan 2,T-76054,1993.AUG,SEGA MEGA DRIVE,(C)T-76,GM,0,J,J
Redump,A-Rank Thunder - Tanjou-hen (Japan),Ａランクサンダー,A-Rank Thunder,T-49064,1993.nnn,SEGA MEGA DRIVE,(C)T-49,GM,0,J,J
Redump,"Arcus I, II, III (Japan)",/WOLF TEAM 1993.MAY,,T-32094,ET JAPAN,SEGA MEGA DRIVE,(C)TELEN,GM,0,J,J
Redump,Arslan Senki (Japan),THE_HEROIC_REGEND_OF_ARSLAN,,G-6028,1993.AUG,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J
Redump,AX-101 (Japan),AX-101,AX-101,G-6031,1994.MAR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J
Redump,A-X-101 (USA) (RE),AX-101,A/X-101,T-86015,1994.SEP,SEGA GENESIS,(C)T-86,GM,0,J,U
Redump,Bakuden - The Unbalanced Zone (Japan),爆伝−アンバランスゾーン,,T-145014,1994.APR,SEGA MEGA DRIVE,(C)T-SR,GM,0,J,J
Redump,Bari-Arm (Japan),BARI_ARM,BARI_ARM,T-43024,1993.AUG,SEGA MEGA DRIVE,(C)T-43,GM,0,J,J
