Release Type,File Name,Game Title,Product Number,Version,Release Date,Playable Regions,Maker ID,Hardware ID,H/W Vendor ID,Media ID,Media Information,Area Symbols,Peripherals,Boot Filename
Redump,"Beach Spikers - Virtua Beach Volleyball (World) (En,Ja)",BEACH SPIKERS,GDS-0014,V1.001,20010613,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,0897,GD-ROM1/1,J,0000000,
TOSEC,Beach Spikers v1.001 (2001)(Sega)(JP)(en)[!],BEACH SPIKERS,GDS-0014,V1.001,20010613,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,0897,GD-ROM1/1,J,0000000,
Redump,Initial D (World) (Rev A),INITIAL_D_ENG,GDS-0025A,V2.002,20030324,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,46A1,GD-ROM1/1,J,0000000,
Redump,Initial D Arcade Stage (Japan) (Rev B),INITIAL_D,GDS-0020B,V3.000,20020529,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,730B,GD-ROM1/1,J,0000000,
TOSEC,Initial D Arcade Stage v3.000 (2002)(Sega)(JP)[!],INITIAL_D,GDS-0020B,V3.000,20020529,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,730B,GD-ROM1/1,J,0000000,
TOSEC,Initial D Arcade Stage Ver. 2 v3.000 (2003)(Sega)(JP)[!],INITIAL_D_VER_2,GDS-0026B,V3.000,20030527,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,2983,GD-ROM1/1,J,0000000,
TOSEC,Initial D Arcade Stage Ver. 3 v3.000 (2003)(Sega)(JP)[!],INITIAL_D_VER_3,GDS-0032B,V3.000,20031223,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,DA29,GD-ROM1/1,J,0000000,
TOSEC,Initial D v1.000 (2002)(Sega)(JP)(en)[!][Export Version],INITIAL_D_ENGLISH,GDS-0025,V1.000,20020718,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,425A,GD-ROM1/1,J,0000000,
TOSEC,Initial D v2.002 (2003)(Sega)(JP)(en)[!][Export Version],INITIAL_D_ENG,GDS-0025A,V2.002,20030324,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,46A1,GD-ROM1/1,J,0000000,
TOSEC,Initial D Ver. 2 v1.004 (2003)(Sega)(JP)(en)[!][Export Version],INITIAL_D_VER_2_ENG,GDS-0027,V1.004,20030316,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,C4B9,GD-ROM1/1,J,0000000,
Redump,Initial D Version 3 (World),INITIAL_D_VER_3_ENGLISH,GDS-0033,V2.001,20040518,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,8964,GD-ROM1/1,J,0000000,
Redump,Initial D Version 3 for Cycraft (World) (Rev B),INITIAL_D_VER_3_FOR_CYCRAFT_ENG,GDS-0039B,V3.000,20061207,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,DE92,GD-ROM1/1,J,0000000,
TOSEC,Initial D Version 3 for Cycraft v3.000 (2006)(Sega)(JP)(en)[!][Export Version],INITIAL_D_VER_3_FOR_CYCRAFT_ENG,GDS-0039B,V3.000,20061207,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,DE92,GD-ROM1/1,J,0000000,
TOSEC,Initial D Version 3 v2.001 (2004)(Sega)(JP)(en)[!][Export Version],INITIAL_D_VER_3_ENGLISH,GDS-0033,V2.001,20040518,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,8964,GD-ROM1/1,J,0000000,
Redump,Virtua Fighter 4 - Evolution (Japan) (Rev A),VF4 EVOLUTION,GDS-0024A,V2.001,20020719,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,9DE1,GD-ROM1/1,J,0000000,
Redump,Virtua Fighter 4 - Evolution (Japan) (Rev B),VF4 EVOLUTION,GDS-0024B,V3.002,20021103,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,CFA6,GD-ROM1/1,J,0000000,
Redump,Virtua Fighter 4 - Final Tuned (Japan) (Rev D),VIRTUA FIGHTER 4 FINAL TUNED,GDS-0036D,V5.000,20040814,Japan/Asia,,SEGA SEGAKATANA,SEGA ENTERPRISES,0B88,GD-ROM1/1,J,0000000,
