Release Type,Name,Game Title,Product Number,Version,Hardware Identifier,Marker ID,Release Date,Device Information,Compatible Peripherals,Compatible Area Symbols
Redump,2do Aru Koto wa Sando R (Japan),SAND R,T-6802G,V1.003,SEGA SEGASATURN,SEGA TP T-68,19960307,CD-1/1,J,J
Redump,3D Baseball - The Majors (Japan),3D BASEBALL THE MAJORS,T-18003G,V1.000,SEGA SEGASATURN,SEGA TP T-159,19961111,CD-1/1,JAT,J
Redump,3D Baseball (USA),3D BASEBALL,T-15906H,V1.002,SEGA SEGASATURN,SEGA TP T-159,19961108,CD-1/1,JAT,U
Redump,3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1),KYUSEIKOUSYU,T-21301G,V1.000,SEGA SEGASATURN,SEGA TP T-213,19960405,CD-1/3,J,J
Redump,3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 2),KYUSEIKOUSYU,T-21301G,V1.000,SEGA SEGASATURN,SEGA TP T-213,19960405,CD-2/3,J,J
Redump,3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 3) (Special CD-ROM),KYUSEIKOUSYU,T-21301G,V1.000,SEGA SEGASATURN,SEGA TP T-213,19960405,CD-3/3,J,J
Redump,6 Inch My Darling (Japan),6INCH MY DARLING,T-19721G,V1.001,SEGA SEGASATURN,SEGA TP T-197,19981025,CD-1/1,J,J
Redump,"Actua Golf (Europe) (En,Fr,De)",ACTUA GOLF,T-12302H,V1.500,SEGA SEGASATURN,SEGA TP T-123,19961024,CD-1/1,JT,E
Redump,Actua Golf (Japan),ACTUA GOLF,T-18710G,V1.100,SEGA SEGASATURN,SEGA TP T-187,19961024,CD-1/1,JT,J
Redump,Actua Soccer - Club Edition (Europe),ACTUA SOCCER CLUB EDITION,T-12305H,V1.100,SEGA SEGASATURN,SEGA TP T-123,19970429,CD-1/1,J,E
Redump,Actua Soccer (Japan),ACTUA SOCCER,T-18706G,V1.100,SEGA SEGASATURN,SEGA TP T-187,19960822,CD-1/1,J,J
Redump,AI Igo (Japan),AI IGO,T-17601G,V1.003,SEGA SEGASATURN,SEGA TP T-176,19970528,CD-1/1,JM,J
Redump,Ai Iijima Interactive Video Clip - Good Island Cafe (Japan),AI IIJIMA       GOOD ISLAND CAFE,T-25201G,V1.300,SEGA SEGASATURN,SEGA TP T-252,19960828,CD-1/1,J,J
Redump,AI Shougi (Japan),AI Shogi,T18602G,V1.001,SEGA SEGASATURN,SEGA TP T-186,19950718,CD-1/1,J,J
Redump,AI Shougi 2 (Japan),AISHOGI-2,T-17602G,V1.002,SEGA SEGASATURN,SEGA TP T-176,19980427,CD-1/1,J,J
Redump,Airs Adventure (Japan),AIRSADVENTURE,T-20701G,V1.004,SEGA SEGASATURN,SEGA TP T-207,19961124,CD-1/1,JE,JT
Redump,Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (2M),DRACULA-X,T-9527G,V1.400,SEGA SEGASATURN,SEGA TP T-95,19980427,CD-1/1,J,J
Redump,Album Club (Mune Kyun) - St. Paulia Jogakuin (Japan),ALBUM CLUB 1,T-21903G,V1.001,SEGA SEGASATURN,SEGA TP T-219,19970605,CD-1/1,J,J
Redump,Alien Trilogy (Japan) (Demo),ALIEN TRILOGY,T-8113G,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960801,CD-1/1,J,J
Redump,All-Star Baseball '97 Featuring Frank Thomas (USA),ALLSTAR_BASEBALL_97,T-8150H,V1.000,SEGA SEGASATURN,SEGA TP T-81,19970502,CD-1/1,JT,U
Redump,"Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)",ALONE IN THE DARK JACK IS BACK,T-15101H,V1.100,SEGA SEGASATURN,SEGA TP T-151,19960212,CD-1/1,J,E
Redump,Alone in the Dark - One-Eyed Jack's Revenge (USA),ALONE IN THE DARK ONE EYED JACK S REVENGE,T-29401H,V1.200,SEGA SEGASATURN,SEGA TP T-294,19960611,CD-1/1,J,U
Redump,Alone in the Dark 2 (Japan),ALONE IN THE DARK 2 JACK IS BACK,T-10602G,V1.000,SEGA SEGASATURN,SEGA TP T-106,19951219,CD-1/1,J,J
Redump,Amagi Shien (Japan),AMAGISHIEN,T-1513G,V1.001,SEGA SEGASATURN,SEGA TP T-15,19961227,CD-1/1,J,J
Redump,America Oudan Ultra Quiz (Japan),AMERICA OUDAN ULTRA QUIZ,T-6004G,V1.020,SEGA SEGASATURN,SEGA TP T-60,19950918,CD-1/1,JT,J
Redump,"Amok (Europe) (En,Fr,De,Es,It,Nl)",AMOK,MK-81064,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19970108,CD-1/1,JT,E
Redump,Amok (Japan),AMOK,T-7637G,V1.007,SEGA SEGASATURN,SEGA TP T-76,19970419,CD-1/1,JT,JT
Redump,Amok (USA),AMOK,MK-81064,V1.010,SEGA SEGASATURN,SEGA ENTERPRISES,19961213,CD-1/1,JT,U
Redump,Andretti Racing (Europe),EA_ANDRETTI,T-5020H,V1.000,SEGA SEGASATURN,SEGA TP T-50,19961125,CD-1/1,JS,E
Redump,Andretti Racing (France),EA_ANDRETTI,T-5020H,V1.000,SEGA SEGASATURN,SEGA TP T-50,19970318,CD-1/1,JS,E
Redump,Andretti Racing (Germany),EA_ANDRETTI,T-5020H,V1.000,SEGA SEGASATURN,SEGA TP T-50,19970226,CD-1/1,JS,E
Redump,Andretti Racing (USA),ANDRETTI RACING,T-5020H,V1.000,SEGA SEGASATURN,SEGA TP T-50,19961121,CD-1/1,JS,U
Redump,AnEarth Fantasy Stories - The First Volume (Japan),ANEARTH FANTASY STORIES,T-27801G,V1.004,SEGA SEGASATURN,SEGA TP T-278,19970213,CD-1/1,J,J
